COLUMN,UNITS,DESCRIPTION,,,,,,,,,,,,
Year,,2021 or 2022,,,,,,,,,,,,
Location,,"BZ = swMT (southwest Montana), 
MO = cntrMT (central Montana), 
SD = South Dakota, HI = Hawaii",,,,,,,,,,,,
Block,,,,,,,,,,,,,,
Row,,,,,,,,,,,,,,
Range,,,,,,,,,,,,,,
Plot,,,,,,,,,,,,,,
Line,,Barley genotype name,,,,,,,,,,,,
Entry,,,,,,,,,,,,,,
RhizoShootDryWt,grams,Dry weight of aboveground portion of plants used for rhizosphere sample in grams- average per plant.,,,,,,,,,,,,
HeadingDate,DOY,Julian date when 50% of plot had visible seed heads,,,,,,,,,,,,
MaturityDate,DOY,Julian date when 50% of seed heads in plot had turned yellow,,,,,,,,,,,,
GrainFill,day,Maturity Date - Heading Date = length of grain fill period in days,,,,,,,,,,,,
PlantHeight,inches,"Height of plant from ground to top of seed head in inches, average of two measurements per plot",,,,,,,,,,,,
TillerNumber,heads m-2,"Number of seed heads per square meter (converted from three 6in samples in Bozeman, 3 1ft samples in Moccasin and Brookings)",,,,,,,,,,,,
Biomass,g m-2,"Weight of aboveground biomass prior to harvest in grams per square meter (converted from three 6in samples in Bozeman, 3 1ft samples in Moccasin)",,,,,,,,,,,,
HarvestIndex,g/g,Ratio: weight of threshed seed heads from biomass sample divided by total weight of biomass sample,,,,,,,,,,,,
Yield,kg ha-1,"Grain yield converted to kg/ha, using measured plot length and row number and spacing to calculate plot area",,,,,,,,,,,,
TestWeight,lb bu-1,Pounds per bushel of harvested grain,,,,,,,,,,,,
Plump,,% plump seed (need to check seive size),,,,,,,,,,,,
Protein,,% protein content in harvested grain,,,,,,,,,,,,
GrainMoisture,% mass,% moisture content in harvested grain,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
