Year,Location,LocYr,Block,Row,Range,Plot,Line,Entry,RhizoShootDryWt,HeadingDate,MaturityDate,GrainFill,PlantHeight,TillerNumber,Biomass,HarvestIndex,Yield,TestWeight,Plump,Protein,GrainMoisture
2021,BZ,BZ21,1,1,1,101,08N2-90,117,2.158333333,178,216,38,20.86614173,645.8349031,1522.806942,0.370859055,3308.063787,48.3,99.33142311,12.4,
2021,BZ,BZ21,1,2,1,102,08N2-42,99,1.855714286,175,211,36,22.24409449,559.7235827,1135.306,0.434865053,4125.280412,46.3,97.10663199,11,
2021,BZ,BZ21,1,3,1,103,Merit57,236,1.66,179,211,32,23.22834646,631.4830163,1037.71317,0.41006846,4223.902828,47.1,87.97110553,12.2,
2021,BZ,BZ21,1,4,1,104,07N2-23,47,2.472,176,209,33,22.83464567,767.8259403,1499.843923,0.269365102,3868.643514,49.9,98.43930636,12.4,
2021,BZ,BZ21,1,5,1,105,08WA-32,130,2.373333333,181,207,26,25,660.1867898,1175.491283,0.334533911,4250.028061,48.3,92.76214043,12.9,
2021,BZ,BZ21,1,6,1,106,2MS14_3317-014,211,2.07,180,211,31,25.19685039,595.6032995,1072.157699,0.446422596,4230.52024,49.7,96.95785654,11.2,
2021,BZ,BZ21,1,7,1,107,07N2-47,57,2.638571429,173,210,37,21.8503937,495.1400924,1065.69935,0.39929971,3622.209717,49.2,97.53551754,13,
2021,BZ,BZ21,1,8,1,108,2MS14_3337-013,221,2.453333333,179,211,32,24.60629921,552.5476393,1186.255198,0.307301434,4653.52982,49.2,96.71884407,12,
2021,BZ,BZ21,1,9,1,109,08N2-78,114,2.42625,174,211,37,22.24409449,681.7146199,1298.917509,0.330368488,3651.11488,48.1,98.36877367,11.7,
2021,BZ,BZ21,1,10,1,110,2MS14_3301-021,186,2.105,176,209,33,18.50393701,696.0665066,1143.199538,0.449438202,4649.492233,48.6,97.16705607,11.4,
2021,BZ,BZ21,1,11,1,111,Lavina,235,1.227777778,178,201,23,24.80314961,681.7146199,1308.246235,0.374088092,4636.47304,47.2,78.04136253,12.7,
2021,BZ,BZ21,1,12,1,112,08N2-66,108,1.697142857,181,212,31,22.63779528,746.2981102,1512.043027,0.433771534,4133.587923,48.3,94.66019417,12.4,
2021,BZ,BZ21,1,12,2,113,2MS14_3304-022,189,1.513333333,180,209,29,20.66929134,645.8349031,1313.269396,0.437134583,4478.05319,51.6,96.21424565,13.5,
2021,BZ,BZ21,1,11,2,114,07N2-28,49,1.125,179,209,30,20.47244094,638.6589597,1109.831401,0.460364671,3730.943753,49.4,98.58852409,13.5,
2021,BZ,BZ21,1,10,2,115,Odyssey,237,1.094285714,183,211,28,20.66929134,703.24245,1224.861773,0.452281915,4115.944278,49.1,97.64204545,12.3,
2021,BZ,BZ21,1,9,2,116,Hockett,234,1.403333333,181,208,27,23.62204724,631.4830163,1181.949632,0.278064477,4442.995756,50.4,95.21492295,12.5,
2021,BZ,BZ21,1,8,2,117,09N2-62,165,1.667142857,177,209,32,24.80314961,595.6032995,1307.456882,0.425356751,4141.725055,48.6,98.82766706,11.3,
2021,BZ,BZ21,1,7,2,118,09N2-90,177,1.482857143,181,211,30,23.81889764,574.0754694,1222.421953,0.368065747,4351.148282,47.4,96.08794051,12.6,
2021,BZ,BZ21,1,6,2,119,09AB-51,139,1.698571429,181,214,33,20.66929134,502.3160357,1255.144254,0.401920988,3711.620829,48.5,95.68345324,13.2,
2021,BZ,BZ21,1,5,2,120,07N2-56,58,2.155,173,209,36,17.71653543,796.5297138,1198.597821,0.321499132,3593.726297,49,98.55570839,13.9,
2021,BZ,BZ21,1,4,2,121,06N2-56,16,1.698333333,175,209,34,24.21259843,653.0108464,1226.799278,0.411792232,3598.527474,48.1,97.62831858,12,
2021,BZ,BZ21,1,3,2,122,08AB-24,76,2.041666667,180,209,29,20.47244094,480.7882056,1155.398642,0.414259984,4035.532286,47.6,93.97734049,13.1,
2021,BZ,BZ21,1,2,2,123,09N2-31,156,1.598571429,179,218,39,23.42519685,602.7792429,1151.73891,0.441121495,3813.848594,50.2,98.54159761,11.7,
2021,BZ,BZ21,1,1,2,124,07N2-43,54,2.44,174,209,35,20.07874016,703.24245,1333.362037,0.388568968,3271.077451,47.6,96.27826087,13.3,
2021,BZ,BZ21,2,13,1,201,Odyssey,237,1.676666667,180,211,31,22.24409449,609.9551862,1293.176754,0.381221908,4854.018253,48.5,97.54791432,11.3,
2021,BZ,BZ21,2,14,1,202,07N2-45,55,2.982857143,176,209,33,21.25984252,552.5476393,1357.760245,0.410654828,4012.227988,48,98.06085919,11.6,
2021,BZ,BZ21,2,15,1,203,Lavina,235,1.372857143,178,204,26,25.98425197,789.3537704,1285.211457,0.390284757,4551.410024,47.7,77.91044776,12.6,
2021,BZ,BZ21,2,16,1,204,2MS14_3314-015,205,1.898333333,178,211,33,23.03149606,703.24245,1341.973169,0.418159457,4318.750444,49.7,97.12931996,12,
2021,BZ,BZ21,2,17,1,205,08N2-69,110,1.905,177,217,40,25.39370079,538.1957526,1227.87567,0.435976857,3854.098391,49.5,98.95318407,12,
2021,BZ,BZ21,2,18,1,206,2MS14_3335-007,218,1.936666667,180,214,34,24.40944882,559.7235827,1326.903688,0.452111838,5326.305043,50,94.60976979,10.2,
2021,BZ,BZ21,2,19,1,207,2MS14_3328-025,217,2.988,175,207,32,22.83464567,832.4094306,1734.497271,0.457573125,3199.362277,49.4,96.58536585,13.1,
2021,BZ,BZ21,2,20,1,208,09MT-76,148,1.694285714,181,214,33,24.40944882,624.307073,1430.954867,0.442806279,4743.944291,50.5,97.28021978,10.9,
2021,BZ,BZ21,2,21,1,209,08N2-71,112,1.975714286,175,214,39,22.04724409,595.6032995,1217.111755,0.418607393,4342.755962,47.9,98.2832618,10.7,
2021,BZ,BZ21,2,22,1,210,08AB-48,81,2.056666667,180,212,32,22.44094488,645.8349031,1374.264914,0.421910083,4647.486929,49,84.17411358,11.7,
2021,BZ,BZ21,2,23,1,211,09AB-59,141,1.864285714,181,211,30,22.24409449,731.9462235,1172.620906,0.619301144,4620.275933,50.8,92.60905807,12,
2021,BZ,BZ21,2,24,1,212,08AB-34,78,1.538,180,211,31,20.86614173,782.1778271,1511.325433,0.466739471,4733.112121,48.5,96.33583381,12.8,
2021,BZ,BZ21,2,24,2,213,08N2-36,98,1.431428571,176,211,35,22.04724409,602.7792429,1146.069915,0.447060297,4377.048543,49.4,97.63333333,11.5,
2021,BZ,BZ21,2,23,2,214,07N2-25,48,1.43,178,214,36,22.83464567,681.7146199,1448.177131,0.458847431,3864.939055,50.6,98.00635654,13.7,
2021,BZ,BZ21,2,22,2,215,2MS14_3310-018,201,1.566666667,179,214,35,22.44094488,645.8349031,1271.648924,0.286665538,4256.476616,49.5,92.21611722,11.8,
2021,BZ,BZ21,2,21,2,216,07AB-55,26,1.424285714,185,214,29,23.22834646,574.0754694,1212.088594,0.449351726,5381.95,51.9,92.31191653,13.1,
